Date;Open;High;Low;Close;Adj Close;Volume
Jul 19, 2025;117998.13;118541.4;117388.41;117939.98;117939.98;47564562765
Jul 18, 2025;119284.11;120851.91;116925.98;118003.23;118003.23;77945799785
Jul 17, 2025;118738.51;120999.61;117508.22;119289.84;119289.84;72363841798
Jul 16, 2025;117777.19;120065.52;117064.82;118738.51;118738.51;72162029070
Jul 15, 2025;119853.85;119935.56;115765.69;117777.19;117777.19;98321661181
Jul 14, 2025;119115.79;123091.61;118959.2;119849.7;119849.7;181746419401
Jul 13, 2025;117432.2;119449.57;117265.44;119116.12;119116.12;49021091807
Jul 12, 2025;117530.71;118219.9;116977.02;117435.23;117435.23;45524560304
Jul 11, 2025;115986.23;118856.48;115245.69;117516.99;117516.99;86928361085
Jul 10, 2025;111329.2;116608.78;110660.75;115987.2;115987.2;95911605728
Jul 9, 2025;108950.27;111925.38;108357.68;111326.55;111326.55;57927418065
Jul 8, 2025;108298.23;109198.97;107499.55;108950.27;108950.27;44282204127
Jul 7, 2025;109235.33;109710.25;107527.05;108299.85;108299.85;45415696597
Jul 6, 2025;108231.19;109731.63;107847.02;109232.07;109232.07;36746020463
Jul 5, 2025;108015.84;108381.34;107842.27;108231.18;108231.18;30615537520
Jul 4, 2025;109635.66;109751.98;107296.38;108034.34;108034.34;42616442656
Jul 3, 2025;108845.02;110541.46;108605.8;109647.98;109647.98;50494742270
Jul 2, 2025;105703.1;109763.66;105157.4;108859.32;108859.32;56248657737
Jul 1, 2025;107144.38;107550.68;105270.23;105698.28;105698.28;44110692247
Jun 30, 2025;108383.44;108798.79;106759.65;107135.34;107135.34;42064804590
Jun 29, 2025;107327.82;108526.3;107230.11;108385.57;108385.57;35534874438
